"Título","CNPJ","ENDEREÇO","MUNICÍPIO / UF","UNIDADE","INSC. MUNICIPAL","INSC. ESTADUAL","Anexos"
"SENAI-RJ","03.848.688/0042-20","Rua 24 de Maio, 2 - Andar 3 - Centro - CEP: 25.640-550","Petrópolis / RJ","Senai Moda Petrópolis",,"Isento","1"
"SENAI-RJ","03.848.688/0043-01","Estrada Virgem Santa - Loteamento Botafogo, 657 - Qd 2, Lote 17 a 30 - Botafogo - CEP: 27.946-830","Macaé / RJ","Senai Macaé - Botafogo","021.078-0","Isento","1"
"SENAI-RJ","03.848.688/0044-92","Rua Mariz e Barros, 678 - Bloco 1 - 5º andar - Maracanã - CEP: 20.270-903","Rio de Janeiro / RJ","Senai de Segurança do Trabalho","0.452.585-0","Isento","1"
"SENAI-RJ","03.848.688/0045-73","Rua Alagoas, s/n - Parque Residencial Village - Jacuecanga - Village - CEP: 23.914.180","Angra dos Reis / RJ","Senai Angra dos Reis","25903","Isento","1"
"SENAI-RJ","03.848.688/0047-35","Rodovia Rio-Santos - Zona Industrial - LT J1 - Quadra 97 - Distrito do Município de Itaguaí - CEP: 23.812-101","Itaguaí / RJ","Senai Itaguaí","22264","Isento","1"
"SENAI-RJ","03.848.688/0048-16","Rua Guilhermina Guinle, 211 - 207 - Botafogo - CEP: 22.270-060","Rio de Janeiro / RJ","Senai Botafogo","1123201-9","Isento","1"
"SENAI-RJ","03.848.688/0050-30","Avenida Vereador Mario de Castro Reis, 25 - Centro - Cep: 25.804-970","Três Rios / RJ","Senai Três Rios - Entidade Gestora Técnica","0101017588","Isento","1"
"SENAI-RJ","03.848.688/0051-11","Avenida Rodrigues Alves, 833 e 835 - Santo Cristo - CEP: 20.220-361","Rio de Janeiro / RJ","Senai Rodrigues Alves","0.545.430-1","Isento","1"
"SENAI-RJ","03.848.688/0053-83","Avenida Governador Roberto Silveira, 1960 - Duas Pedras - CEP: 28.635-000","Nova Friburgo / RJ","Senai Friburgo Conselheiro Paulino","1023622286-3","Isento","1"
"SENAI-RJ","03.848.688/0054-64","Rua Bruno de Azevedo, 37 - Pq. Maria Queiroz - CEP: 28.035-045","Campos dos Goytacazes / RJ","Senai Campos Padaria Escola","109.356","Isento","1"
"SENAI-RJ","03.848.688/0055-45","Rua Pedro Lima Mendes, 490 - Aero Clube - CEP: 27.283-160","Volta Redonda /RJ","Senai Volta Redonda Aero Clube","038.581.02-7","Isento","1"
"SENAI-RJ","03.848.688/0057-07","Rodovia Washington Luiz, 4370 - Galpão E - Vila São Sebastião - CEP: 25.055-009","Duque de Caxias / RJ","Senai Pólo Capital Washington Luiz","99141807","Isento","1"
"SENAI-RJ","03.848.688/0060-02","Rua Julius Arp, 85 - Centro - CEP: 28.623-000","Nova Friburgo / RJ","Espaço Senai Moda de Nova Friburgo","1023624238-2","Isento","1"
"SENAI-RJ","03.848.688/0061-93","Avenida Vereador Mário de Catro Reis, 25 - Centro - CEP:25.804-970 ","Três Rios / RJ","Senai Três Rios","0101019928","isento","1"
"SENAI-RJ","03.848.688/0062-74","Rua Capitão Benedito Lopes Bragança, 113 - São Geraldo - CEP: 27.253-510 ","Volta Redonda / RJ","Senai Volta Redonda Padaria Escola","063.348.00-4","Isento","1"
"SENAI-RJ","03.848.688/0063-55","Rua Morais e Silva, 53 - Bloco 9 - Andar 1 - Maracanã - CEP: 20.271-030","Rio de Janeiro / RJ","Instituto Senai de Inovação em Química Verde","1007880-6","Isento","1"
"SENAI-RJ","03.848.688/0065-17","Rua São Francisco Xavier, 601 - Bloco 1 - Sala 204 - Maracanã - CEP: 20.541-280","Rio de Janeiro / RJ","ISI Inspeção e Integridade","1157679-6","Isento","1"
"SENAI-RJ","03.848.688/0066-06","Praça Natividade Saldanha, 19 - Parte - Benfica - CEP: 20.911-210","Rio de Janeiro / RJ","ISI SVP","1235244-1","Isento","1"
"SESI-RJ","03.851.171/0001-12","Avenida Graça Aranha, 1 - Lj.A deps , lj.B deps, ands. 2 deps, 4 ao 9 - Centro - CEP: 20.030-002","Rio de Janeiro / RJ","Sede da FIRJAN SESI","58.924-1","Isento","1"
"SESI-RJ","03.851.171/0002-01","Rua Dr. Nilo Peçanha, 134 -  Alcântara - CEP: 24.445-300","São Gonçalo / RJ","Sesi São Gonçalo","060651","Isento","1"
"SESI-RJ","03.851.171/0003-84","Rua Visconde de Uruguai, 535 - 2º ao 10º e 13º andares - Centro - CEP: 24.030-073","Niterói / RJ","Sesi Niterói (Centro)","593566","Isento","1"
"SESI-RJ","03.851.171/0004-65","Rua Gerson Chernicharo, 1321- Centro - CEP: 26.263-150","Nova Iguaçu / RJ","Sesi Nova Iguaçu","032298","Isento","1"
"SESI-RJ","03.851.171/0005-46","Rua Barão do Rio Branco, 2564 - Centro - CEP: 25.680-120","Petrópolis / RJ","Sesi Petrópolis","34066","Isento","1"
"SESI-RJ","03.851.171/0006-27","Avenida Vereador Mário de Castro Reis, 35 - Nova Niterói - CEP: 25.804-080","Três Rios / RJ","Sesi Três Rios","0101011716","Isento","1"
"SESI-RJ","03.851.171/0007-08","Avenida Major Mário Moacyr Salgueiro, 1065 - Belvedere - CEP: 27.170-000","Barra do Piraí / RJ","Sesi Barra do Piraí","26618-01","Isento","1"
"SESI-RJ","03.851.171/0008-99","Avenida Lucas Evangelista de Oliveira Franco, 595 - Aterrado - CEP: 27.215-630","Volta Redonda / RJ","Sesi Volta Redonda","018.425.00-3","Isento","1"
"SESI-RJ","03.851.171/0009-70","Avenida Dario Aragão, 2 - Centro - CEP: 27.330-020","Barra Mansa / RJ","Sesi Barra Mansa","522612","Isento","1"
"SESI-RJ","03.851.171/0010-03","Rua Santa Luzia, 685 - 3º, 4º, 5º e 11º andares - Centro - CEP: 20.030-041","Rio de Janeiro / RJ","Sesi Cinelândia","02290839","Isento","1"
"SESI-RJ","03.851.171/0012-75","Avenida Pastor Martin Luther King Jr., 6475 - Vicente de Carvalho - CEP: 21.371-310","Rio de Janeiro / RJ","Sesi Vicente de Carvalho","01919636","Isento","1"
"SESI-RJ","03.851.171/0014-37","Rua Alameda Etelvino Gomes, 155 - Pq. Francisco Machado - CEP: 27.937-150","Macaé / RJ","Sesi Macaé","957","Isento","1"
"SESI-RJ","03.851.171/0015-18","Rua Dep. Bartolomeu Lizandro, 862 - Parque Jardim Carioca - CEP: 28.030-002","Campos dos Goytacazes / RJ","Sesi Campos","32416","Isento","1"
"SESI-RJ","03.851.171/0016-07","Avenida Dep.José de Cerqueira Garcia, 883 - Gov. Roberto Silveira - CEP: 28.300-000","Itaperuna / RJ","Sesi Itaperuna","5023-0","Isento","1"
"SESI-RJ","03.851.171/0017-80","Rua Teresópolis, 248 - Vila Amélia - CEP: 28.625-530","Nova Friburgo / RJ","Sesi Nova Friburgo","10234028660","Isento","1"
"SESI-RJ","03.851.171/0018-60","Rua Ipiranga, 75 - Laranjeiras - CEP: 22.231-120","Rio de Janeiro / RJ","Sesi Laranjeiras","00610607","isento","1"
"SESI-RJ","03.851.171/0019-41","Avenida Geremário Dantas, 342 - Jacarepaguá - CEP: 22.735-000","Rio de Janeiro / RJ","Sesi Jacarepaguá","01993445","Isento","1"
"SESI-RJ","03.851.171/0020-85","Rua Felipe Cardoso, 713 - Santa Cruz - CEP: 23.510-006","Rio de Janeiro / RJ","Sesi Santa Cruz","00448982","Isento","1"
"SESI-RJ","03.851.171/0022-47","Rua Arthur Neiva, 100 - 1º e 2º andares - Centro - CEP: 25.070-235","Duque de Caxias / RJ","Sesi Duque de Caxias","160.374","Isento","1"
"SESI-RJ","03.851.171/0023-28","Rua Marcílio Dias, 468 - Jardim Jalisco - CEP: 27.510-080","Resende / RJ","Sesi Resende","280293154","Isento","1"
"SESI-RJ","03.851.171/0024-09","Rua Moraes e Silva, 53 - Parte - Maracanã - CEP: 20.271-030","Rio de Janeiro / RJ","Sesi Tijuca Moraes e Silva","00968528","Isento","1"
"SESI-RJ","03.851.171/0026-70","Rua Santa Luzia, 685 - 12º Andar - Salas 1201 a 1211 - Centro - CEP: 20.021-330","Rio de Janeiro / RJ","Sesi Cinelândia (Academia) ","02845385","Isento","1"
"SESI-RJ","03.851.171/0029-13","Estrada da Boa Vista - Lote 4, Qd. C – Itatiquara  –  CEP: 28.970-000","Araruama / RJ","x",,"Isento","1"
"SESI-RJ","03.851.171/0030-57","Rua Moraes e Silva, 53 - Parte - Maracanã - CEP: 20.271-030","Rio de Janeiro / RJ","IST SESI Ambiental","03149790","Isento","1"
